"GeoName","FIPS","Y2002","Y2003","Y2004","Y2005","Y2006","Y2007","Y2008","Y2009","Y2010","Y2011","Y2013","Y2014","Y2015","Y2016","Y2017"
"Fayetteville-Springdale-Rogers, AR-MO","22220","0.0689","0.0708","0.0737","0.0547","0.0326","-0.004","0.0406","-0.0302","0.0747","9e-04","0.064","0.0476","0.0461","0.0557","0.034"
"Fayetteville, NC","22180","0.012","0.0235","0.0118","0.0576","0.0179","0.0365","0.051","0.0471","0.0189","0.026","-0.0232","-0.033","-0.0167","-0.0134","-0.0024"
"Flagstaff, AZ","22380","0.0346","0.0357","0.0218","0.0532","0.0803","0.0584","0.017","-0.0653","-0.0127","0.005","0.0169","-0.0025","0.0196","0.0014","0.0119"
"Flint, MI","22420","0.0557","0.0164","-0.0207","-0.0225","-0.0189","-0.0156","-0.1015","-0.0976","0.0516","0.0263","0.0049","-0.0052","0.0209","-0.0022","0.0039"
"Florence-Muscle Shoals, AL","22520","0.0065","0.0401","0.0292","0.0314","0.0214","0.0017","-0.0123","-0.0052","0.0381","-0.0025","-0.0153","0.0141","0.0094","0.0108","0.0056"
"Florence, SC","22500","0.0088","0.0277","0.003","0.0089","0.007","0.028","-0.0395","-0.0344","-0.0099","-0.0064","0.0426","6e-04","0.0151","-0.001","0.0168"
"Fond du Lac, WI","22540","-0.025","0.0193","0.023","0.0106","0.0141","0.0045","-0.0245","-0.0827","0.0472","0.0129","0.0116","0.038","0.0273","0.0215","0.0276"
"Fort Collins, CO","22660","0.0667","0.0095","0.0248","0.023","0.0205","0.0337","-0.0028","-0.0314","0.0516","0.0236","0.0659","-0.0058","0.0291","0.0426","0.0575"
"Fort Smith, AR-OK","22900","0.0203","0.0372","0.0273","0.046","0.0352","-0.0258","-0.0162","-0.0396","0.0185","-0.003","0.0035","0.008","-0.0447","-0.0191","0.002"
"Fort Wayne, IN","23060","0.0099","0.0193","1e-04","0.0278","0.0282","0.0253","-0.0472","-0.0471","0.0578","0.0197","-0.0036","0.0201","0.0359","0.0284","0.0206"
"Fresno, CA","23420","0.0728","0.0368","0.0277","0.024","0.0467","-0.0069","-0.0173","0.005","0.0059","-0.014","0.0432","0.0216","0.0489","0.0234","0.0074"
"Gadsden, AL","23460","0.0203","0.0127","0.0268","0.02","0.0026","0.0081","-0.0101","-0.0307","0.0185","0.0104","-0.0345","0.0052","0.0196","0.0102","0.0101"
"Gainesville, FL","23540","0.0053","0.0292","0.0838","0.0149","0.0339","0.0503","-0.0059","-0.0215","-8e-04","-1e-04","0.0527","-0.0325","0.0062","0.0156","0.0238"
"Gainesville, GA","23580","-0.0173","9e-04","0.0117","0.0622","-0.0039","0.0217","-0.0251","-0.0621","0.0384","0.0604","-0.0109","0.0608","0.0702","0.0341","0.0473"
"Gettysburg, PA","23900","0.0275","0.0648","0.0064","0.0464","0.0365","0.0168","-0.0396","-0.0266","-0.0313","-0.0105","0.0256","0.0183","0.0077","0.0618","0.0264"
"Glens Falls, NY","24020","0.034","0.0296","0.0554","0.0228","0.0094","-0.0145","-6e-04","-0.0071","0.027","0.0066","-0.0167","0.0114","0.0037","0.0094","0.005"
"Goldsboro, NC","24140","-0.0081","-0.0112","0.0281","0.0166","0.0479","-8e-04","-0.0427","0.0236","0.0051","0.0031","3e-04","-0.0078","-8e-04","-0.0154","0.0049"
"Grand Forks, ND-MN","24220","0.0308","0.066","-0.0348","0.0082","0.0448","0.0075","0.0351","-0.0213","0.0285","0.0051","0.0379","-0.0013","0.037","0.0654","-0.0016"
"Grand Island, NE","24260","0.0274","0.0441","-0.0012","0.0666","0.0363","0.048","0.0052","0.0086","0.0333","0.0417","0","-0.0061","0.0264","0.0178","0.0228"
"Grand Junction, CO","24300","0.047","0.0112","0.0313","0.0441","0.0449","0.091","0.0887","-0.0545","-0.011","0.0102","-0.0164","0.0177","-0.0262","-0.0229","0.0415"
